20	0.630295	0.631193
27	0.856283	0.859644
4	0.126406	0.126408
28	0.885764	0.889816
12	0.380492	0.380542
19	0.602942	0.603315
3	0.0953258	0.0953262
35	1.1075	1.11956
11	0.349222	0.349259
60	2.00178	2.09962
36	1.13739	1.15168
43	1.36555	1.40125
51	1.63674	1.70187
44	1.38478	1.4235
52	1.66607	1.73822
59	1.9442	2.03858
18	0.56905	0.569579
2	0.0633799	0.0633801
9	0.284407	0.284421
17	0.540281	0.540622
10	0.316804	0.316839
26	0.821059	0.824339
25	0.795561	0.797924
33	1.05092	1.06043
65	2.25404	2.34033
42	1.33511	1.36488
34	1.08024	1.09074
41	1.29445	1.32201
50	1.59389	1.65906
49	1.5611	1.61919
58	1.90303	1.99431
57	1.86405	1.95176
15	0.474565	0.474685
16	0.507288	0.507529
8	0.251518	0.251525
7	0.222304	0.222306
23	0.72755	0.729544
39	1.23599	1.25819
47	1.49589	1.54656
31	0.977843	0.984518
24	0.767267	0.769072
55	1.78195	1.86294
56	1.81967	1.91075
64	2.20574	2.30674
32	1.0122	1.01966
40	1.26467	1.29022
63	2.14427	2.23615
48	1.52221	1.57732
98	6.14677	5.56497
99	6.32655	5.71755
100	6.55894	5.89756
21	0.665226	0.666218
29	0.917058	0.922249
62	2.09702	2.19356
38	1.20747	1.22865
1	0.0316976	0.0316977
54	1.74616	1.82998
61	2.03961	2.13283
14	0.442945	0.443198
53	1.70829	1.78095
46	1.45982	1.5063
13	0.410985	0.411105
5	0.158248	0.158249
45	1.42877	1.47058
37	1.17704	1.19342
30	0.94956	0.956095
22	0.699047	0.700317
6	0.189859	0.189858
66	2.30613	2.38791
67	2.36359	2.44851
68	2.41678	2.49893
71	2.63523	2.71041
82	3.63131	3.55447
74	2.86896	2.90694
75	2.94496	2.97501
70	2.56241	2.63194
69	2.49211	2.56763
77	3.11754	3.12818
86	4.1032	3.93277
78	3.20199	3.19405
73	2.78419	2.81931
76	3.02599	3.04498
79	3.30213	3.28401
83	3.72728	3.63544
72	2.71679	2.76586
84	3.87953	3.75036
88	4.38314	4.15806
85	3.97471	3.82492
80	3.40678	3.36657
81	3.5213	3.47003
90	4.67745	4.40508
87	4.25148	4.05763
89	4.52084	4.28648
95	5.50477	5.06027
94	5.32621	4.91873
96	5.73922	5.26551
92	4.97264	4.65254
91	4.82352	4.51593
97	5.9092	5.40677
93	5.19195	4.81802
